id,type,file
CKV_K8S_27,DockerSocketVolume,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/DockerSocketVolume.py
CKV_K8S_28,DropCapabilities,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/DropCapabilities.py
CKV_K8S_29,PodSecurityContext,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/PodSecurityContext.py
CKV_K8S_30,ContainerSecurityContext,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ContainerSecurityContext.py
CKV_K8S_31,Seccomp,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/Seccomp.py
CKV_K8S_32,SeccompPSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/SeccompPSP.py
CKV_K8S_33,KubernetesDashboard,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubernetesDashboard.py
CKV_K8S_34,Tiller,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/Tiller.py
CKV_K8S_35,Secrets,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/Secrets.py
CKV_K8S_36,MinimizeCapabilitiesPSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/MinimizeCapabilitiesPSP.py
CKV_K8S_37,MinimizeCapabilities,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/MinimizeCapabilities.py
CKV_K8S_38,ServiceAccountTokens,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ServiceAccountTokens.py
CKV_K8S_39,AllowedCapabilitiesSysAdmin,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/AllowedCapabilitiesSysAdmin.py
CKV_K8S_40,RootContainersHighUID,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/RootContainersHighUID.py
CKV_K8S_41,DefaultServiceAccount,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/DefaultServiceAccount.py
CKV_K8S_42,DefaultServiceAccountBinding,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/DefaultServiceAccountBinding.py
CKV_K8S_43,ImageDigest,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ImageDigest.py
CKV_K8S_44,TillerService,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/TillerService.py
CKV_K8S_45,TillerDeploymentListener,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/TillerDeploymentListener.py
CKV_K8S_49,WildcardRoles,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/WildcardRoles.py
CKV_K8S_68,ApiServerAnonymousAuth,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAnonymousAuth.py
CKV_K8S_69,ApiServerBasicAuthFile,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerBasicAuthFile.py
CKV_K8S_70,ApiServerTokenAuthFile,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerTokenAuthFile.py
CKV_K8S_71,ApiServerKubeletHttps,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerKubeletHttps.py
CKV_K8S_72,ApiServerKubeletClientCertAndKey,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerKubeletClientCertAndKey.py
CKV_K8S_73,ApiServerkubeletCertificateAuthority,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerkubeletCertificateAuthority.py
CKV_K8S_74,ApiServerAuthorizationModeNotAlwaysAllow,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAuthorizationModeNotAlwaysAllow.py
CKV_K8S_75,ApiServerAuthorizationModeNode,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAuthorizationModeNode.py
CKV_K8S_77,ApiServerAuthorizationModeRBAC,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAuthorizationModeRBAC.py
CKV_K8S_78,ApiServerAdmissionControlEventRateLimit,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAdmissionControlEventRateLimit.py
CKV_K8S_79,ApiServerAdmissionControlAlwaysAdmit,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAdmissionControlAlwaysAdmit.py
CKV_K8S_80,ApiServerAlwaysPullImagesPlugin,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAlwaysPullImagesPlugin.py
CKV_K8S_81,ApiServerSecurityContextDenyPlugin,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerSecurityContextDenyPlugin.py
CKV_K8S_82,ApiServerServiceAccountPlugin,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerServiceAccountPlugin.py
CKV_K8S_83,ApiServerNamespaceLifecyclePlugin,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerNamespaceLifecyclePlugin.py
CKV_K8S_84,ApiServerPodSecurityPolicyPlugin,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerPodSecurityPolicyPlugin.py
CKV_K8S_85,ApiServerNodeRestrictionPlugin,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerNodeRestrictionPlugin.py
CKV_K8S_86,ApiServerInsecureBindAddress,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerInsecureBindAddress.py
CKV_K8S_88,ApiServerInsecurePort,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerInsecurePort.py
CKV_K8S_89,ApiServerSecurePort,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerSecurePort.py
CKV_K8S_90,ApiServerProfiling,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerProfiling.py
CKV_K8S_91,ApiServerAuditLog,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAuditLog.py
CKV_K8S_92,ApiServerAuditLogMaxAge,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAuditLogMaxAge.py
CKV_K8S_93,ApiServerAuditLogMaxBackup,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAuditLogMaxBackup.py
CKV_K8S_94,ApiServerAuditLogMaxSize,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerAuditLogMaxSize.py
CKV_K8S_95,ApiServerRequestTimeout,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerRequestTimeout.py
CKV_K8S_96,ApiServerServiceAccountLookup,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerServiceAccountLookup.py
CKV_K8S_97,ApiServerServiceAccountKeyFile,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerServiceAccountKeyFile.py
CKV_K8S_99,ApiServerEtcdCertAndKey,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerEtcdCertAndKey.py
CKV_K8S_100,ApiServerTlsCertAndKey,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerTlsCertAndKey.py
CKV_K8S_102,ApiServerEtcdCaFile,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerEtcdCaFile.py
CKV_K8S_104,ApiServerEncryptionProviders,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerEncryptionProviders.py
CKV_K8S_105,ApiServerStrongCryptographicCiphers,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ApiServerStrongCryptographicCiphers.py
CKV_K8S_106,KubeControllerManagerTerminatedPods,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeControllerManagerTerminatedPods.py
CKV_K8S_107,KubeControllerManagerBlockProfiles,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeControllerManagerBlockProfiles.py
CKV_K8S_108,KubeControllerManagerServiceAccountCredentials,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeControllerManagerServiceAccountCredentials.py
CKV_K8S_110,KubeControllerManagerServiceAccountPrivateKeyFile,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeControllerManagerServiceAccountPrivateKeyFile.py
CKV_K8S_111,KubeControllerManagerRootCAFile,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeControllerManagerRootCAFile.py
CKV_K8S_112,RotateKubeletServerCertificate,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/RotateKubeletServerCertificate.py
CKV_K8S_113,ControllerManagerBindAddress,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ControllerManagerBindAddress.py
CKV_K8S_114,SchedulerProfiling,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/SchedulerProfiling.py
CKV_K8S_115,SchedulerBindAddress,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/SchedulerBindAddress.py
CKV_K8S_116,EtcdCertAndKey,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/EtcdCertAndKey.py
CKV_K8S_117,EtcdClientCertAuth,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/EtcdClientCertAuth.py
CKV_K8S_118,EtcdAutoTls,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/EtcdAutoTls.py
CKV_K8S_119,EtcdPeerFiles,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/EtcdPeerFiles.py
CKV_K8S_121,PeerClientCertAuthTrue,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/PeerClientCertAuthTrue.py
CKV_K8S_138,KubeletAnonymousAuth,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletAnonymousAuth.py
CKV_K8S_139,KubeletAuthorizationModeNotAlwaysAllow,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletAuthorizationModeNotAlwaysAllow.py
CKV_K8S_140,KubeletClientCa,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletClientCa.py
CKV_K8S_141,KubeletReadOnlyPort,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletReadOnlyPort.py
CKV_K8S_143,KubeletStreamingConnectionIdleTimeout,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletStreamingConnectionIdleTimeout.py
CKV_K8S_144,KubeletProtectKernelDefaults,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletProtectKernelDefaults.py
CKV_K8S_145,KubeletMakeIptablesUtilChains,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletMakeIptablesUtilChains.py
CKV_K8S_146,KubeletHostnameOverride,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletHostnameOverride.py
CKV_K8S_147,KubletEventCapture,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubletEventCapture.py
CKV_K8S_148,KubeletKeyFilesSetAppropriate,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletKeyFilesSetAppropriate.py
CKV_K8S_149,KubletRotateCertificates,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubletRotateCertificates.py
CKV_K8S_151,KubeletCryptographicCiphers,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/KubeletCryptographicCiphers.py
CKV_K8S_152,NginxIngressCVE202125742Lua,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/NginxIngressCVE202125742Lua.py
CKV_K8S_153,NginxIngressCVE202125742AllSnippets,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/NginxIngressCVE202125742AllSnippets.py
CKV_K8S_154,NginxIngressCVE202125742Alias,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/NginxIngressCVE202125742Alias.py
CKV_K8S_155,RbacControlWebhooks,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/RbacControlWebhooks.py
CKV_K8S_156,RbacApproveCertificateSigningRequests,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/RbacApproveCertificateSigningRequests.py
CKV_K8S_157,RbacBindRoleBindings,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/RbacBindRoleBindings.py
CKV_K8S_158,RbacEscalateRoles,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/RbacEscalateRoles.py
CKV_K8S_159,DangerousGitSync,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/DangerousGitSync.py
CKV2_K8S_1,RoleBindingPE,LLM4Config/rules/Checkov/kubernetes/checks/graph_checks/RoleBindingPE.yaml
CKV2_K8S_2,NoCreateNodesProxyOrPodsExec,LLM4Config/rules/Checkov/kubernetes/checks/graph_checks/NoCreateNodesProxyOrPodsExec.yaml
CKV2_K8S_3,ImpersonatePermissions,LLM4Config/rules/Checkov/kubernetes/checks/graph_checks/ImpersonatePermissions.yaml
CKV2_K8S_4,ModifyServicesStatus,LLM4Config/rules/Checkov/kubernetes/checks/graph_checks/ModifyServicesStatus.yaml
CKV2_K8S_5,ReadAllSecrets,LLM4Config/rules/Checkov/kubernetes/checks/graph_checks/ReadAllSecrets.yaml
CKV2_K8S_6,RequireAllPodsToHaveNetworkPolicy,LLM4Config/rules/Checkov/kubernetes/checks/graph_checks/RequireAllPodsToHaveNetworkPolicy.yaml
